C1	33.15	36.32	270.00	1000uF, 16V	150CLZ-1010
C2	37.21	47.24	0.00	0.1uF	C0805
C22	3.68	34.16	0.00	0.1uF	C0805
C27	42.93	49.02	180.00	0.1uF	C0805
C3	43.69	45.85	270.00	0.1uF	C0805
C4	53.29	45.01	270.00	0.1uF	C0805
C5	12.83	15.24	180.00	1uF	C0805
C6	21.54	18.92	0.00	1uF	C0805
C7	5.33	29.34	90.00	0.1uF	C0805
C8	61.70	30.00	0.00	22uF	C0805
D1	61.62	48.69	0.00	1N4148	D0805
D2	20.32	10.03	0.00	1N4148	D0805
IC1	12.57	22.86	270.00	ATTINY85	SOIC8
IC6	48.77	43.56	180.00	LM1117-3.3	SOT223
LED1	65.13	1.80	90.00	Indicator	CHIP-LED0805
LK1	86.84	5.92	270.00	12V Link	R0805
LK2	7.54	6.40	180.00	Deep Sleep RST	R0805
Q1	56.77	43.69	90.00	BC317	SOT23-BEC
Q2	56.13	48.01	90.00	BC317	SOT23-BEC
R1	20.70	24.64	180.00	10K	R0805
R10	12.83	11.94	0.00	ADCG - 1K	R0805
R11	70.31	3.73	270.00	2k2	R0805
R12	20.45	15.88	180.00	10K	R0805
R13	20.32	12.95	180.00	1K	R0805
R14	5.54	22.94	270.00	10K	R0805
R15	49.73	30.33	0.00	1K	R0805
R16	9.68	17.75	180.00	1K	R0805
R2	38.61	44.63	180.00	10K	R0805
R21	43.18	6.60	180.00	4K7	R0805
R3	2.11	22.66	270.00	10K	R0805
R4	2.16	29.34	270.00	10K	R0805
R5	47.45	6.58	0.00	4K7	R0805
R6	56.52	30.30	0.00	1K	R0805
R7	31.24	44.83	180.00	10K	R0805
R8	31.24	47.37	0.00	1K	R0805
R9	12.83	9.02	0.00	ADCI - 20K	R0805
